time,gyro_x
0.0,0.076
0.01,-0.254
0.02,0.199
0.03,0.252
0.04,-0.465
0.05,-0.297
0.06,0.066
0.07,-0.04
0.08,0.04
0.09,-0.163
0.1,0.275
0.11,0.255
0.12,0.082
0.13,0.352
0.14,0.192
0.15,-0.134
0.16,0.177
0.17,-0.15
0.18,0.314
0.19,0.086
0.2,0.056
0.21,-0.064
0.22,0.416
0.23,0.076
0.24,0.011
0.25,0.033
0.26,0.258
0.27,0.219
0.28,0.234
0.29,0.241
0.3,0.671
0.31,0.036
0.32,0.012
0.33,-0.061
0.34,0.298
0.35,0.428
0.36,0.118
0.37,-0.062
0.38,-0.058
0.39,0.312
0.4,0.336
0.41,0.286
0.42,-0.016
0.43,0.208
0.44,0.179
0.45,0.203
0.46,0.366
0.47,0.203
0.48,0.315
0.49,0.161
0.5,0.215
0.51,0.299
0.52,-0.226
0.53,0.057
0.54,0.016
0.55,-0.028
0.56,0.06
0.57,0.499
0.58,-0.094
0.59,0.361
0.6,-0.305
0.61,0.028
0.62,0.149
0.63,0.251
0.64,0.278
0.65,0.294
0.66,0.004
0.67,-0.029
0.68,0.296
0.69,0.029
0.7,-0.247
0.71,-0.216
0.72,-0.168
0.73,0.181
0.74,0.087
0.75,0.219
0.76,-0.066
0.77,0.075
0.78,0.186
0.79,-0.053
0.8,0.133
0.81,-0.152
0.82,-0.083
0.83,-0.094
0.84,-0.303
0.85,0.112
0.86,-0.132
0.87,-0.018
0.88,0.094
0.89,0.08
0.9,0.129
0.91,-0.067
0.92,-0.154
0.93,-0.073
0.94,-0.481
0.95,-0.426
0.96,-0.4
0.97,-0.323
0.98,0.021
0.99,-0.31
1.0,-0.183
1.01,0.232
1.02,-0.186
1.03,0.083
1.04,-0.339
1.05,-0.161
1.06,-0.351
1.07,-0.202
1.08,0.09
1.09,-0.555
1.1,-0.018
1.11,-0.07
1.12,-0.281
1.13,-0.496
1.14,-0.119
1.15,-0.272
1.16,-0.083
1.17,-0.138
1.18,0.256
1.19,-0.206
1.2,-0.403
1.21,-0.103
1.22,-0.094
1.23,0.19
1.24,0.059
1.25,-0.061
1.26,0.216
1.27,-0.447
1.28,-0.309
1.29,-0.38
1.3,-0.245
1.31,-0.49
1.32,0.014
1.33,-0.199
1.34,-0.509
1.35,-0.393
1.36,-0.059
1.37,0.075
1.38,0.367
1.39,0.599
1.4,-0.023
1.41,-0.371
1.42,-0.653
1.43,-0.05
1.44,-0.316
1.45,-0.213
1.46,-0.258
1.47,-0.136
1.48,0.169
1.49,-0.053
1.5,-0.128
1.51,-0.342
1.52,-0.497
1.53,-0.195
1.54,-0.082
1.55,0.378
1.56,-0.026
1.57,0.192
1.58,-0.173
1.59,-0.339
1.6,-0.279
1.61,-0.213
1.62,0.506
1.63,-0.226
1.64,0.195
1.65,-0.235
1.66,0.229
1.67,0.098
1.68,-0.032
1.69,0.003
1.7,-0.145
1.71,0.136
1.72,-0.084
1.73,-0.271
1.74,-0.279
1.75,0.089
1.76,0.446
1.77,0.097
1.78,0.032
1.79,0.139
1.8,0.399
1.81,0.132
1.82,-0.021
1.83,0.363
1.84,0.198
1.85,0.48
1.86,0.146
1.87,-0.202
1.88,-0.234
1.89,0.525
1.9,0.546
1.91,0.074
1.92,0.027
1.93,0.491
1.94,-0.148
1.95,-0.092
1.96,0.295
1.97,0.038
1.98,0.137
1.99,0.1
2.0,0.227
2.01,0.496
2.02,0.168
2.03,0.308
2.04,-0.365
2.05,0.137
2.06,-0.061
2.07,-0.155
2.08,-0.07
2.09,0.066
2.1,0.379
2.11,-0.182
2.12,0.156
2.13,0.027
2.14,0.065
2.15,0.396
2.16,0.278
2.17,0.476
2.18,0.102
2.19,-0.036
2.2,0.08
2.21,0.194
2.22,0.175
2.23,-0.143
2.24,0.147
2.25,0.178
2.26,0.747
2.27,0.584
2.28,-0.103
2.29,0.035
2.3,-0.263
2.31,-0.049
2.32,0.173
2.33,0.391
2.34,-0.097
2.35,-0.083
2.36,-0.461
2.37,0.03
2.38,-0.2
2.39,-0.072
2.4,-0.164
2.41,0.026
2.42,-0.395
2.43,-0.328
2.44,0.566
2.45,-0.294
2.46,-0.252
